Wavelength (m),T = 273 K,T = 400 K,T = 600 K,T = 800 K,T = 1000 K,T = 1200 K,T = 1400 K,T = 1600 K,T = 1800 K,T = 2000 K,T = 2200 K,T = 2400 K,T = 2600 K,T = 2800 K,T = 3000 K
1.9909909909909909e-07,1.5678550196918653e-106,9.380799490604688e-71,2.630729027938888e-45,9.904318736246613e-33,2.838104501908427e-25,2.32178282073323e-20,6.809020786674916e-17,2.5242480889528158e-14,2.3759540543508554e-12,8.614935152960811e-11,1.5671785570332857e-09,1.7046991401827488e-08,1.251438653600611e-07,6.757376604361912e-07,2.8582339038706426e-06
2.09009009009009e-07,3.646651979864407e-101,4.053614478357932e-67,6.539984414094519e-43,5.905464494116941e-31,7.184449167377728e-24,3.3199084259692974e-19,6.474231578118348e-16,1.7673486187936337e-13,1.3111130159478687e-11,3.929469421432973e-10,6.116621131686728e-09,5.842863559901936e-08,3.842772677515769e-07,1.888358283115649e-06,7.3608253815812395e-06
2.189189189189189e-07,2.746631835731887e-96,8.138607830166534e-64,9.782618868294432e-41,2.4109851533128023e-29,1.3457041269410493e-22,3.698921015665848e-18,4.977078610955236e-15,1.0285464333675485e-12,6.144825075308076e-11,1.548702005505954e-09,2.0920915882967965e-08,1.775755421226451e-07,1.0567629001408183e-06,4.766393718311151e-06,1.724894572042732e-05
2.2882882882882883e-07,7.759367202200236e-92,8.390283555051342e-61,9.408850666599284e-39,7.082365464859997e-28,1.9402303225383708e-21,3.318240683141694e-17,3.181260421297152e-14,5.098354838890457e-12,2.499330743680561e-10,5.377234466787076e-09,6.381684743938919e-08,4.862576962860796e-07,2.6411538075758342e-06,1.1015376647755111e-05,3.724721650325977e-05
2.3873873873873873e-07,9.29313084705072e-88,4.82739971997863e-58,6.1495979671423686e-37,1.5600882009829542e-26,2.2253539373281785e-20,2.463124117579175e-16,1.7305589561209051e-13,2.196652766206376e-11,8.982346448495395e-10,1.6714884078967943e-08,1.7616034904976552e-07,1.2157813344173017e-06,6.073023439940567e-06,2.3573472039790004e-05,7.490030906016592e-05
2.4864864864864863e-07,5.230020883329585e-84,1.66253161906227e-55,2.861342139659448e-35,2.6679569068978275e-25,2.0873313128841658e-19,1.5479956039232651e-15,8.170239218421689e-13,8.367990692787269e-11,2.895735520821758e-09,4.714878964485809e-08,4.4546226676826347e-07,2.8067072211684088e-06,1.2979713208958369e-05,4.716058405294815e-05,0.00014149999622360497
2.585585585585586e-07,1.5089738082868933e-80,3.6365080886510975e-53,9.85793575061415e-34,3.647698269397192e-24,1.6390213170723405e-18,8.3981021096896e-15,3.4035378332262e-12,2.8593549309534306e-10,8.48141368753612e-09,1.2207327616757653e-07,1.042633078405102e-06,6.0392883485732884e-06,2.6009708848581613e-05,8.890827582203148e-05,0.00025301186754396026
2.6846846846846843e-07,2.403988201143439e-77,5.3135726372514523e-51,2.6004317197374174e-32,4.088180943115636e-23,1.0990709050924755e-17,3.998450829167963e-14,1.2687932753734443e-11,8.872141936626146e-10,2.2815467711380154e-08,2.9293624023385626e-07,2.278699077092627e-06,1.2209646890791738e-05,4.922820476848813e-05,0.00015902565087201574,0.0004309042287391878
2.783783783783784e-07,2.253680086220822e-74,5.4159646797871186e-49,5.405296326787995e-31,3.837245607303133e-22,6.402114278769394e-17,1.694511832277114e-13,4.284051162121502e-11,2.5261749204783223e-09,5.6895237513622866e-08,6.5696132514798e-07,4.685370287484489e-06,2.3352212775232244e-05,8.85596989556305e-05,0.00027144449456397514,0.0007027843599144138
2.882882882882883e-07,1.3133830045630474e-71,3.997245702288902e-47,9.075250390082131e-30,3.0726195606805186e-21,3.287469407701543e-16,6.470413727887846e-13,1.323837118654527e-10,6.660406127358416e-09,1.3258086446886617e-07,1.3868510111203493e-06,9.122496665147193e-06,4.250341794602147e-05,0.00015224927808230376,0.00044438272105493934,0.0011027633985447077
